doc_id,nppes_provider_city,nppes_provider_state,number_of_hcpcs,total_services,total_medicare_allowed_amt,number_of_drug_hcpcs,total_drug_services,total_drug_medicare_allowed_amt,number_of_med_hcpcs,total_med_services,total_med_medicare_allowed_amt,beneficiary_average_risk_score
PH0925089,DENVER,CO,43,12587,296776.41,7,11483,176037.84,36,1104,120738.57,1.2561
FA9105896,OAK BROOK,IL,18,6343,864165.19,0,0,0,18,6343,864165.19,2.6202
VF4539634,BEACHWOOD,OH,23,2620,207897.1,0,0,0,23,2620,207897.1,2.1302
FK0058736,AKRON,OH,8,112,9260.18,0,0,0,8,112,9260.18,1.3964
UV9505829,GAINESVILLE,FL,23,897,122395.58,NA,NA,NA,NA,NA,NA,2.3048
SX3113084,BEVERLY HILLS,CA,80,5176,213568.17,13,4039,62942.05,67,1137,150626.12,1.7816
FT4688763,JACKSON,MS,14,3934,287192.69,0,0,0,14,3934,287192.69,1.8893
RT0106453,NORWICH,CT,53,19933,238833.5,1,18900,103934.4,52,1033,134899.1,1.456
CE2828560,KANSAS CITY,KS,27,1067,102082.33,0,0,0,27,1067,102082.33,2.0622
XR8888564,SAN ANTONIO,TX,31,1218,113743.43,NA,NA,NA,NA,NA,NA,1.2601
LG8352773,CHARLESTON,SC,10,79,4092.88,0,0,0,10,79,4092.88,1.811
SD4572348,STATEN ISLAND,NY,14,1344,206731.03,0,0,0,14,1344,206731.03,1.4654
WW4168538,HONOLULU,HI,19,817,77531.64,0,0,0,19,817,77531.64,1.287
EU5479833,ASHEVILLE,NC,11,1096,132788.79,0,0,0,11,1096,132788.79,0.9488
UW2486743,FAIRFIELD,CA,15,629,76928.5,0,0,0,15,629,76928.5,1.4295
VS4508081,AUGUSTA,GA,17,576,51587.45,0,0,0,17,576,51587.45,1.3118
NR3944715,WACO,TX,29,4681,306154.63,2,2380,17083.05,27,2301,289071.58,1.5973
NO9060185,NEW YORK,NY,27,489,57321.21,0,0,0,27,489,57321.21,1.687
PD5948733,NORMAN,OK,23,1651,148856.57,1,15,32.93,22,1636,148823.64,1.5047
WB8976277,MCHENRY,IL,21,461,33099.06,NA,NA,NA,NA,NA,NA,1.0049
LZ9224170,SEATTLE,WA,9,565,52921.8,0,0,0,9,565,52921.8,2.5023
VM9033759,GILBERT,AZ,10,4918,151291.83,NA,NA,NA,NA,NA,NA,1.2358
FE6272744,RAPID CITY,SD,32,453,63708.22,NA,NA,NA,NA,NA,NA,1.1162
SF3417117,BURR RIDGE,IL,19,881,92375.58,0,0,0,19,881,92375.58,2.0089
MP0724613,MOBERLY,MO,23,1014,111576.68,0,0,0,23,1014,111576.68,1.4012
IM2370311,SPOKANE,WA,55,19656,337884.29,4,17945,106552.22,51,1711,231332.07,1.307
KS1699008,BURLINGTON,MA,10,190,22161.27,NA,NA,NA,NA,NA,NA,1.1576
WK7911193,WAUSAU,WI,6,242,7811.17,0,0,0,6,242,7811.17,0.5689
XD1833771,WINFIELD,IL,29,25842,311170.34,3,24551,156862.7,26,1291,154307.64,1.497
LW2617138,SACRAMENTO,CA,14,649,103995.45,0,0,0,14,649,103995.45,1.198
RF6180680,WEBSTER,TX,12,397,35384.57,0,0,0,12,397,35384.57,2.2705
CE6652471,FRAMINGHAM,MA,22,826,93166.83,0,0,0,22,826,93166.83,1.5296
ZT3035671,NEW YORK,NY,11,307,36985.09,0,0,0,11,307,36985.09,1.4778
XV8302967,SCOTTSDALE,AZ,26,3029,362667.02,0,0,0,26,3029,362667.02,1.6632
OA5627456,SEATTLE,WA,25,540,31129.02,0,0,0,25,540,31129.02,1.3925
SO6234114,BIRMINGHAM,AL,25,5145,185797.06,NA,NA,NA,NA,NA,NA,1.4086
GY6507965,TEANECK,NJ,9,206,35368.11,0,0,0,9,206,35368.11,1.5707
OW8165260,FRESNO,CA,56,8882,562396.03,5,3684,20446.62,51,5198,541949.41,1.5957
CC6666203,CASPER,WY,53,24149,541330.01,6,21641,253509.95,47,2508,287820.06,1.3049
NT5626317,NASHUA,NH,48,3500,91102.39,NA,NA,NA,NA,NA,NA,1.4291
CC4406170,KINGSPORT,TN,31,11587,140062.75,2,10704,58771.3,29,883,81291.45,1.2715
VF1910686,KNOXVILLE,TN,5,60,3989.01,0,0,0,5,60,3989.01,1.6201
KZ5566267,SEATTLE,WA,25,457,59094.98,0,0,0,25,457,59094.98,1.5175
KF3167444,LUFKIN,TX,24,6331,575562.17,NA,NA,NA,NA,NA,NA,1.7975
UR4359656,SEATTLE,WA,23,172,14495.78,0,0,0,23,172,14495.78,1.4038
VM9949142,ROCHESTER,NY,25,154,18111.69,0,0,0,25,154,18111.69,1.1772
BE3091606,COLUMBIA,MO,49,6908,237825.9,NA,NA,NA,NA,NA,NA,1.373
TA7038710,BOSTON,MA,6,110,11106.72,0,0,0,6,110,11106.72,1.5156
VW3955008,MEADVILLE,PA,18,571,67532.42,0,0,0,18,571,67532.42,2.1539
YJ9839042,KANKAKEE,IL,24,2087,145086.14,0,0,0,24,2087,145086.14,1.6214
LK6724355,DALLAS,TX,29,1051,98777.26,0,0,0,29,1051,98777.26,2.6636
NW0240537,HUNTSVILLE,AL,56,13880,378261.88,4,10669,85689.66,52,3211,292572.22,1.5508
XR7284427,NASHVILLE,TN,36,555,44664.95,0,0,0,36,555,44664.95,1.5804
TF6757733,GREENWOOD VILLAGE,CO,16,565,26908.74,0,0,0,16,565,26908.74,1.1266
YN1796054,PITTSBURGH,PA,19,431,66718.47,0,0,0,19,431,66718.47,2.0044
JY1829416,LAWRENCE,MA,30,1572,184202.34,NA,NA,NA,NA,NA,NA,1.607
QT3409166,EASTON,MD,25,1360,172639.98,0,0,0,25,1360,172639.98,1.4654
CQ2278826,GRAND RAPIDS,MI,7,35,3664.79,0,0,0,7,35,3664.79,1.7026
TE6462298,WILMINGTON,NC,23,714,67529.65,0,0,0,23,714,67529.65,1.3501
JA1227224,DURHAM,NC,38,19239,171555.23,14,18542,101933.67,24,697,69621.56,0.8903
XM3056734,FREDERICKSBURG,VA,15,1188,153144.71,0,0,0,15,1188,153144.71,1.5495
VW8215124,SAN JOSE,CA,12,79,14672.68,0,0,0,12,79,14672.68,2.7718
CE7772023,VIRGINIA BEACH,VA,20,1229,114906.2,0,0,0,20,1229,114906.2,1.5183
SZ8274659,ROSEVILLE,CA,10,781,98339.46,0,0,0,10,781,98339.46,1.0591
NQ3603929,MOUNTAIN VIEW,CA,29,4843,84123.28,3,4418,24275.06,26,425,59848.22,1.4188
AU4992640,HOUSTON,TX,16,1053,42420.58,NA,NA,NA,NA,NA,NA,1.5522
BN7233608,GLEN COVE,NY,19,142,19764.87,0,0,0,19,142,19764.87,2.0301
TE9644482,JACKSONVILLE,FL,13,318,52845.11,0,0,0,13,318,52845.11,1.722
YB4151626,MONTGOMERY,AL,29,598,95729.93,0,0,0,29,598,95729.93,1.4265
EL4966887,SAN DIEGO,CA,20,577,58898.82,0,0,0,20,577,58898.82,1.9241
KH6160435,JAMAICA PLAIN,MA,14,3673,49658.94,NA,NA,NA,NA,NA,NA,1.2964
UX5166620,VANCOUVER,WA,23,499,61785.07,0,0,0,23,499,61785.07,1.3367
PM6540908,PHILADELPHIA,PA,19,470,47027.48,NA,NA,NA,NA,NA,NA,1.2183
LC2732713,ALLENTOWN,PA,13,574,78401.84,0,0,0,13,574,78401.84,1.7575
OA4742005,LAS VEGAS,NV,41,3426,126313.86,NA,NA,NA,NA,NA,NA,1.5493
PW1864060,MARQUETTE,MI,25,1150,107218.94,0,0,0,25,1150,107218.94,1.363
KZ3729371,HOUSTON,TX,30,7000,118970.84,2,6001,33096.71,28,999,85874.13,2.2319
MM3730955,ROCHESTER,MN,17,51,6505.98,0,0,0,17,51,6505.98,1.6984
CL9681452,PHOENIX,AZ,5,12,1799.85,0,0,0,5,12,1799.85,1.3218
EW6417790,CHARLOTTESVILLE,VA,11,984,118464.9,0,0,0,11,984,118464.9,1.9424
ZI5601090,BALTIMORE,MD,17,128,15547.4,0,0,0,17,128,15547.4,1.4536
ZQ9581655,WEST HOLLYWOOD,CA,16,357,40740.89,0,0,0,16,357,40740.89,2.058
PL9035613,DORCHESTER,MA,21,1391,180982.56,0,0,0,21,1391,180982.56,1.9455
UQ6335691,SHREVEPORT,LA,32,340,34302.42,0,0,0,32,340,34302.42,1.4012
VB8134920,SPARKS,NV,16,795,63074.3,NA,NA,NA,NA,NA,NA,1.2764
TP7644763,MANHASSET,NY,18,379,52956.73,0,0,0,18,379,52956.73,1.7302
HN2439178,SPRINGFIELD,MA,5,55,8736.56,0,0,0,5,55,8736.56,1.6629
RU0034636,COLUMBIA,SC,17,328,44103.39,0,0,0,17,328,44103.39,1.6589
DC3377369,LAWRENCEBURG,TN,28,1648,184956.3,NA,NA,NA,NA,NA,NA,1.3371
JR8816305,PHILADELPHIA,PA,70,11850,373694.89,18,7117,131086.98,52,4733,242607.91,1.0621
PK8360056,ANN ARBOR,MI,5,24,2940.82,0,0,0,5,24,2940.82,2.1559
JK5705216,ROCHESTER,MN,9,32,3229.9,0,0,0,9,32,3229.9,2.177
HI3094613,EAST STROUDSBURG,PA,19,1458,184016.56,0,0,0,19,1458,184016.56,1.8343
RE0235626,SIOUX FALLS,SD,7,55,3850.88,0,0,0,7,55,3850.88,1.1256
PC0729134,JAMAICA,NY,10,307,33423.87,0,0,0,10,307,33423.87,1.9101
DM6410025,ATLANTA,GA,19,626,73991.39,0,0,0,19,626,73991.39,1.3825
NU0440206,BROOKLYN,NY,16,78,9489.16,0,0,0,16,78,9489.16,2.8089
LT0281967,KEY WEST,FL,10,1051,146120.41,0,0,0,10,1051,146120.41,1.236
PM1057393,FARMINGTON HILLS,MI,5,32,4856.36,0,0,0,5,32,4856.36,0.7984
UE7718838,ABERDEEN,SD,14,1175,90554.79,0,0,0,14,1175,90554.79,1.4523
CB3755860,BOSTON,MA,6,83,9315.15,0,0,0,6,83,9315.15,1.3851
VW0456853,HOUSTON,TX,29,2877,168394.11,NA,NA,NA,NA,NA,NA,1.3309
SD5154684,PORT JEFFERSON,NY,43,31027,462986.84,3,27539,137959.96,40,3488,325026.88,1.3809
ES8027148,LEBANON,TN,21,1275,143672.84,0,0,0,21,1275,143672.84,1.6257
RB0987030,JACKSON,MS,21,319,25102.75,0,0,0,21,319,25102.75,1.6847
DU7169970,TRAVERSE CITY,MI,18,457,62246.29,0,0,0,18,457,62246.29,1.3114
OP3990199,HENDERSON,NV,44,6453,901000.64,0,0,0,44,6453,901000.64,1.2702
BX5222031,ALLENTOWN,PA,25,879,79467.69,0,0,0,25,879,79467.69,2.0648
BD0143982,SUFFOLK,VA,26,4901,299225.52,NA,NA,NA,NA,NA,NA,1.2839
TI4088444,WASHINGTON,DC,17,1041,253089.9,0,0,0,17,1041,253089.9,1.4298
QU4371027,SALEM,OR,16,651,89252.77,0,0,0,16,651,89252.77,1.7004
KW0535097,SAN FRANCISCO,CA,20,418,51844.92,0,0,0,20,418,51844.92,1.361
EK7120802,DETROIT,MI,30,8397,377787.05,6,6190,5983.4,24,2207,371803.65,1.2849
