doc_id,nppes_provider_city,nppes_provider_state,number_of_hcpcs,total_services,total_medicare_allowed_amt,number_of_drug_hcpcs,total_drug_services,total_drug_medicare_allowed_amt,number_of_med_hcpcs,total_med_services,total_med_medicare_allowed_amt,beneficiary_average_risk_score
HK9804981,CHARLOTTE,NC,18,501,38742.4,0,0,0,18,501,38742.4,1.4074
WD9394710,PORT ST LUCIE,FL,27,1220,116941.24,1,115,258.58,26,1105,116682.66,1.5572
MD3162597,GREAT NECK,NY,32,9664,123193.74,11,9006,50099.36,21,658,73094.38,1.3007
ST1795032,PHILADELPHIA,PA,20,1007,137865.05,0,0,0,20,1007,137865.05,1.7667
ND2095522,GRAND JUNCTION,CO,29,1641,113935.67,0,0,0,29,1641,113935.67,1.2166
HL9199625,EAST STROUDSBURG,PA,12,1255,138474.11,0,0,0,12,1255,138474.11,1.302
LL6480796,SAN DIEGO,CA,40,214,43590.2,0,0,0,40,214,43590.2,1.1635
BL6185247,POTTSTOWN,PA,22,642,89577.95,0,0,0,22,642,89577.95,2.0067
TG6986553,BETHLEHEM,PA,13,80,9317.21,0,0,0,13,80,9317.21,1.564
AJ3075379,ROCHESTER,NY,9,94,10300.5,0,0,0,9,94,10300.5,1.4262
CM6516084,PROVIDENCE,RI,26,994,66381.48,0,0,0,26,994,66381.48,1.5919
CH3150669,LUDLOW,KY,27,372,38878.59,0,0,0,27,372,38878.59,1.8142
WU2999718,LAGUNA HILLS,CA,31,4241,169588.9,NA,NA,NA,NA,NA,NA,1.3039
DI1882440,CLEVELAND,OH,6,347,29406.8,0,0,0,6,347,29406.8,1.3842
QY0185795,NEW YORK,NY,8,690,25499.17,NA,NA,NA,NA,NA,NA,1.8552
ML4500297,LEXINGTON,KY,30,1631,201750.97,0,0,0,30,1631,201750.97,1.213
FT5045261,DOTHAN,AL,13,629,61982.76,0,0,0,13,629,61982.76,1.193
EU1795993,PAOLI,PA,26,1723,210319.33,0,0,0,26,1723,210319.33,1.4972
HU4295425,BALTIMORE,MD,14,1688,27058.89,NA,NA,NA,NA,NA,NA,1.0531
GQ1596079,SAINT LOUIS,MO,28,886,100540.23,0,0,0,28,886,100540.23,2.106
LH1056198,WORCESTER,MA,9,417,69641.67,0,0,0,9,417,69641.67,1.832
GV2286816,SOUTHLAKE,TX,51,5269,151288.7,9,4386,23527.28,42,883,127761.42,1.3211
AB2536194,FAYETTEVILLE,NC,33,477,78840.01,0,0,0,33,477,78840.01,1.9455
HT0747259,NEW YORK,NY,5,291,51737.91,0,0,0,5,291,51737.91,1.2874
OH9864543,COLUMBUS,OH,20,1049,115173.42,0,0,0,20,1049,115173.42,1.6771
AI7083880,CHAPEL HILL,NC,13,320,44170.11,0,0,0,13,320,44170.11,1.8003
FA4462449,CHAPEL HILL,NC,3,371,7857.81,0,0,0,3,371,7857.81,0.6085
ZL5287570,DETROIT,MI,26,662,46633.78,NA,NA,NA,NA,NA,NA,1.7109
OV7730392,BISMARCK,ND,39,693,62026.69,NA,NA,NA,NA,NA,NA,1.2441
FM8346662,SEATTLE,WA,6,333,18806.04,0,0,0,6,333,18806.04,0.9834
ZK5613520,RENSSELAER,IN,87,7159,589739.06,7,611,1451.97,80,6548,588287.09,1.2449
RX0053289,HOPEDALE,MA,37,942,104558.15,0,0,0,37,942,104558.15,1.5135
PQ0671135,WAYNE,NJ,19,2034,215942.71,NA,NA,NA,NA,NA,NA,1.8
DJ0084682,ATLANTA,GA,15,328,35052.02,0,0,0,15,328,35052.02,1.439
LC5273726,MIAMI,FL,10,169,18528.78,0,0,0,10,169,18528.78,2.2393
WE3128808,HOUSTON,TX,19,154,15600.64,0,0,0,19,154,15600.64,1.3257
KA8011772,ROCHESTER,NY,24,474,43229.63,0,0,0,24,474,43229.63,1.7975
OG4852924,MOUNTAIN VIEW,CA,30,1133,104016.26,NA,NA,NA,NA,NA,NA,1.3811
CW1953946,KANSAS CITY,MO,19,981,168301.73,0,0,0,19,981,168301.73,1.4464
AN9852988,WILMINGTON,NC,77,12096,250245.23,8,9887,52512.92,69,2209,197732.31,1.3296
DI6366055,BURR RIDGE,IL,28,814,69542.88,0,0,0,28,814,69542.88,1.8658
WP1747865,BOSTON,MA,7,64,5323.97,0,0,0,7,64,5323.97,1.9325
QZ1786625,WINTER PARK,FL,20,449,26401.63,NA,NA,NA,NA,NA,NA,1.5607
JC7242817,PITTSBURGH,PA,28,310,28235.93,0,0,0,28,310,28235.93,2.1375
VT3563063,SAN JOSE,CA,17,570,49577.88,0,0,0,17,570,49577.88,1.8087
NH2661912,CLEVELAND,OH,14,319,32074.98,0,0,0,14,319,32074.98,1.6665
VA1426798,ELK GROVE VILLAGE,IL,38,2943,318822.02,NA,NA,NA,NA,NA,NA,1.6973
DI1748185,CHICAGO,IL,16,317,55164.53,0,0,0,16,317,55164.53,2.1937
SE7669942,ALBEMARLE,NC,7,33,4976.21,0,0,0,7,33,4976.21,0.8348
CO0284366,PHOENIX,AZ,26,601,63289.58,0,0,0,26,601,63289.58,1.6695
PN0050562,WICHITA,KS,36,697,100203.47,0,0,0,36,697,100203.47,1.465
UT4492231,NEWPORT BEACH,CA,36,1269,156154.14,0,0,0,36,1269,156154.14,1.5914
DB5158059,NEW ORLEANS,LA,20,539,34479.01,NA,NA,NA,NA,NA,NA,1.3937
PA7197399,JACKSONVILLE,FL,39,20533,215308.65,3,19320,106345.73,36,1213,108962.92,1.5768
MA9465128,FAIRFAX,VA,31,1731,269671.27,NA,NA,NA,NA,NA,NA,1.0512
YK5919265,FREMONT,CA,49,2637,234583.36,NA,NA,NA,NA,NA,NA,1.2269
OZ5380957,SAINT LOUIS,MO,17,2847,151592.2,0,0,0,17,2847,151592.2,1.199
MP0669324,DAYTON,OH,26,2508,172836.16,NA,NA,NA,NA,NA,NA,1.9453
KR6911552,MEMPHIS,TN,20,868,86411.93,0,0,0,20,868,86411.93,2.3981
EZ1837476,BROOKLYN,NY,20,202,14144.62,NA,NA,NA,NA,NA,NA,1.1964
UL6312033,ST THOMAS,VI,39,2252,282446.22,5,106,1957.77,34,2146,280488.45,0.9421
PZ9047733,NEW YORK,NY,12,45,5824.73,0,0,0,12,45,5824.73,2.096
IW4929423,LEWES,DE,14,934,102433.67,0,0,0,14,934,102433.67,1.2048
RS6254583,LOS ANGELES,CA,16,2512,109189.17,0,0,0,16,2512,109189.17,1.89
RR9156486,PORTER RANCH,CA,21,658,96804.78,0,0,0,21,658,96804.78,1.7616
BD5441507,MOUNT KISCO,NY,15,550,78013.16,0,0,0,15,550,78013.16,1.7942
DY6391025,BETHESDA,MD,13,88,11297.62,0,0,0,13,88,11297.62,0.8951
XK9269923,HOUSTON,TX,22,834,115531.92,0,0,0,22,834,115531.92,1.4579
CW0779071,GREAT NECK,NY,14,957,225018.8,0,0,0,14,957,225018.8,2.1216
OW3238060,WORCESTER,MA,2,74,10309.58,0,0,0,2,74,10309.58,1.8532
VY2387741,OKLAHOMA CITY,OK,14,116,14643.71,0,0,0,14,116,14643.71,1.9702
PG0906694,SOUTH MILWAUKEE,WI,30,923,75029.84,NA,NA,NA,NA,NA,NA,2.0701
BW0800150,DALLAS,TX,29,769,73918.6,0,0,0,29,769,73918.6,1.726
SM2529402,CHICAGO,IL,14,270,21772.43,0,0,0,14,270,21772.43,1.5971
PP0536503,HARRISONBURG,VA,36,986,81331.95,0,0,0,36,986,81331.95,1.3459
DL9303913,ELMHURST,NY,20,187,17198.47,0,0,0,20,187,17198.47,1.8841
VB4927983,BRONX,NY,25,2337,359936.42,0,0,0,25,2337,359936.42,1.5897
SS4331520,TYLER,TX,25,603,61915.64,0,0,0,25,603,61915.64,1.9293
YU0262224,NORTH KANSAS CITY,MO,13,508,38666,0,0,0,13,508,38666,1.6232
WP5298683,CLEVELAND,OH,21,769,80108.62,0,0,0,21,769,80108.62,1.5985
AF0064148,ST PETERSBURG,FL,47,3149,220092.4,NA,NA,NA,NA,NA,NA,2.0376
SC1231813,MOREHEAD,KY,41,1304,95331.9,NA,NA,NA,NA,NA,NA,1.6993
OA8583815,AKRON,OH,6,33,3179.09,0,0,0,6,33,3179.09,1.6731
PS1959073,PORTSMOUTH,VA,23,871,111518.8,0,0,0,23,871,111518.8,1.8348
XH1509004,COLUMBUS,GA,32,12184,184739.53,2,10949,59966.93,30,1235,124772.6,1.3444
HN2223967,FAIRFAX,VA,28,15880,208269.32,2,15015,83674.48,26,865,124594.84,1.0801
BR9176718,DREXEL HILL,PA,14,931,104829.9,0,0,0,14,931,104829.9,1.4479
CL7167071,FORT WORTH,TX,29,3197,333828.32,NA,NA,NA,NA,NA,NA,2.497
RW2175878,MADISON,WI,32,440,58200.63,NA,NA,NA,NA,NA,NA,1.2617
AX7663506,WARRENTON,VA,18,963,104707.39,0,0,0,18,963,104707.39,1.4236
SJ2425619,PHOENIX,AZ,18,838,77992.36,0,0,0,18,838,77992.36,1.9569
MZ3232599,BELMONT,MA,4,34,4699.63,0,0,0,4,34,4699.63,1.0958
ID1016789,ROCHESTER,MN,6,26,3385.81,0,0,0,6,26,3385.81,1.7677
EX2812907,HANNIBAL,MO,76,3189,158684.85,5,709,279.26,71,2480,158405.59,1.4048
OF2033568,MAYWOOD,IL,12,171,14241.22,0,0,0,12,171,14241.22,1.2537
LW8095588,SANTA CRUZ,CA,30,10506,226144.86,2,9083,49854.35,28,1423,176290.51,1.2434
AO9012397,MOBILE,AL,23,228,25999.54,0,0,0,23,228,25999.54,1.9831
JU6972706,ROCHESTER,MN,12,626,79044.49,0,0,0,12,626,79044.49,1.3322
MZ7469136,TOLEDO,OH,32,23337,252037.34,5,21917,114209.73,27,1420,137827.61,1.3704
UY2565288,BOISE,ID,24,496,38711.64,0,0,0,24,496,38711.64,1.0746
GU1724178,BATH,MI,14,2414,122911.6,0,0,0,14,2414,122911.6,1.1395
OU0084793,BARTLESVILLE,OK,18,672,103129.21,0,0,0,18,672,103129.21,1.0535
ZJ4750926,JACKSONVILLE,FL,28,727,76072.71,0,0,0,28,727,76072.71,1.4623
WI6104799,GREENSBURG,PA,34,903,102040.32,NA,NA,NA,NA,NA,NA,1.6727
ND7907702,TOLEDO,OH,28,2079,189413.83,0,0,0,28,2079,189413.83,2.0596
FP5605350,PORTLAND,OR,9,2277,36632.95,1,2000,10884,8,277,25748.95,1.1127
NA9720891,MECHANICSBURG,PA,21,15845,180085.93,2,15284,105510.92,19,561,74575.01,1.405
VT5897360,PITTSBURGH,PA,30,612,91748.51,0,0,0,30,612,91748.51,2.3311
HS7476246,HINSDALE,IL,38,2849,155132.97,NA,NA,NA,NA,NA,NA,1.3299
QZ3687119,WICHITA,KS,44,5775,244502.98,3,4132,52736.87,41,1643,191766.11,1.2248
DM6928849,WORCESTER,MA,24,429,53203.03,0,0,0,24,429,53203.03,1.8663
GB5682317,NEWARK,DE,16,984,171736.71,0,0,0,16,984,171736.71,1.3595
QG8221909,MONROE,NC,35,3859,223173.58,8,1462,2176.25,27,2397,220997.33,1.8134
BZ5127779,TORRANCE,CA,30,2907,140579.22,NA,NA,NA,NA,NA,NA,1.1459
WF7341228,SOMERVILLE,MA,5,884,68220.13,0,0,0,5,884,68220.13,1.2675
EA4293741,CONCORD,NC,23,948,131836.24,NA,NA,NA,NA,NA,NA,1.6599
OS7003431,HIGH POINT,NC,99,5928,165338.21,13,4233,23742.49,86,1695,141595.72,1.2634
YP6407587,CHARLOTTE,NC,109,5948,201995.38,12,4635,25785.85,97,1313,176209.53,1.3877
LE2114345,SAN FRANCISCO,CA,19,280,46959.32,0,0,0,19,280,46959.32,1.8073
WZ5702697,ELKIN,NC,43,1486,102390.17,NA,NA,NA,NA,NA,NA,1.3808
QY5149256,CHANDLER,AZ,11,307,36810.36,0,0,0,11,307,36810.36,1.3617
EM3924112,HOUSTON,TX,20,894,106939.38,0,0,0,20,894,106939.38,1.9259
OR6017832,LAS CRUCES,NM,9,649,54256.92,0,0,0,9,649,54256.92,1.1655
JY9713359,BOSTON,MA,5,183,23140.28,0,0,0,5,183,23140.28,1.1911
MZ0836211,EL PASO,TX,12,432,49166.83,0,0,0,12,432,49166.83,1.3438
ZO3350802,CLEVELAND,OH,31,439,35596.97,0,0,0,31,439,35596.97,1.5234
IW0343459,CARSON CITY,NV,24,896,116568.54,0,0,0,24,896,116568.54,1.1699
QO1556732,SOMERSET,NJ,38,3371,422837.13,0,0,0,38,3371,422837.13,1.4381
XL7484731,LONG BEACH,CA,4,80,11907.58,0,0,0,4,80,11907.58,1.3819
PK4944447,MINNEAPOLIS,MN,7,76,6420.14,0,0,0,7,76,6420.14,1.6808
PI6160900,NAMPA,ID,15,681,64391.55,0,0,0,15,681,64391.55,1.0649
UX9827522,ALBUQUERQUE,NM,41,500,39956.91,0,0,0,41,500,39956.91,1.5475
RZ7735434,ANN ARBOR,MI,9,357,35998.12,0,0,0,9,357,35998.12,1.2295
GU5554870,BALTIMORE,MD,13,552,68445.67,0,0,0,13,552,68445.67,1.2941
PS7762577,COLUMBUS,IN,43,3019,231596.98,0,0,0,43,3019,231596.98,1.4818
TJ0247565,LAKE TOXAWAY,NC,11,344,27346.37,0,0,0,11,344,27346.37,2.024
KT9285008,WEYMOUTH,MA,17,474,63231.79,NA,NA,NA,NA,NA,NA,1.4752
GD7405395,BURLINGTON,MA,31,766,67674.23,0,0,0,31,766,67674.23,1.449
IG4480127,PITTSBURGH,PA,20,989,87787.38,NA,NA,NA,NA,NA,NA,1.9048
BM4134773,DARIEN,IL,23,1806,195323.73,0,0,0,23,1806,195323.73,2.477
WJ5246450,FORT WORTH,TX,27,1396,71039.57,0,0,0,27,1396,71039.57,1.8124
ZQ6627844,CAMBRIDGE,MA,6,124,10474.26,0,0,0,6,124,10474.26,1.6038
EZ0936873,AUBURN,WA,9,7597,93213.96,2,7209,39560.91,7,388,53653.05,1.2301
CE8962904,FT PIERCE,FL,85,5064,516196.08,NA,NA,NA,NA,NA,NA,2.141
SH8527827,ANN ARBOR,MI,45,7999,125634.15,3,5991,32475.32,42,2008,93158.83,0.8959
AE6360227,BLOOMINGTON,IL,23,951,113740.5,0,0,0,23,951,113740.5,1.5887
OK1262022,GREENVILLE,NC,49,9047,266790.6,10,7054,102539.85,39,1993,164250.75,1.3631
CW5955802,FREMONT,CA,22,2857,311576.6,0,0,0,22,2857,311576.6,1.6505
SL9082648,HUMACAO,PR,10,373,42462.98,0,0,0,10,373,42462.98,1.6883
IP2329839,CENTENNIAL,CO,36,781,93120.29,2,58,155.25,34,723,92965.04,1.3561
SZ6030909,FEDERAL WAY,WA,16,2641,61523.9,NA,NA,NA,NA,NA,NA,1.4424
EE8607249,BURLINGTON,VT,20,726,91000.83,0,0,0,20,726,91000.83,1.0214
AZ9479540,MUNSTER,IN,52,685,54206.29,NA,NA,NA,NA,NA,NA,1.3132
OZ6564027,CLEARWATER,FL,27,840,116149.01,0,0,0,27,840,116149.01,1.9269
JD9056084,HOUSTON,TX,5,97,7945.89,0,0,0,5,97,7945.89,0.4553
OT8836613,NEW YORK,NY,14,726,104962.74,0,0,0,14,726,104962.74,1.1626
DN5683249,SPOKANE,WA,50,38258,573397.66,4,35052,182636.15,46,3206,390761.51,1.2424
XX7966280,HATTIESBURG,MS,66,24251,860008.6,16,21401,506862.31,50,2850,353146.29,1.4804
JA3288616,KENSINGTON,MD,14,31,3500.79,0,0,0,14,31,3500.79,1.0456
XY9643170,BALTIMORE,MD,21,358,27965.23,0,0,0,21,358,27965.23,2.0394
OG0017982,JACKSON,MS,9,3869,37587.76,3,3625,19688.86,6,244,17898.9,0.869
PR6196110,MOBILE,AL,12,400,26395.08,NA,NA,NA,NA,NA,NA,1.462
VG2840485,CHARLESTON,SC,15,128,12923.73,0,0,0,15,128,12923.73,2.461
ZX6677455,BURR RIDGE,IL,8,320,70760.41,0,0,0,8,320,70760.41,2.6919
KH6117122,NELLIS AFB,NV,13,1126,136575.99,0,0,0,13,1126,136575.99,1.9427
WT2136562,VICTORIA,TX,26,265,20834.68,0,0,0,26,265,20834.68,1.5047
YD7565709,LAS VEGAS,NV,20,1390,181746.91,0,0,0,20,1390,181746.91,2.3261
QT2994069,HAWTHORNE,NY,38,1069,167965.8,0,0,0,38,1069,167965.8,2.2263
VS1850343,FARMINGTON HILLS,MI,32,1467,187861.37,0,0,0,32,1467,187861.37,2.2807
JR4387249,SAINT CLOUD,MN,25,300,29203.99,0,0,0,25,300,29203.99,1.4588
IZ6325429,LEXINGTON,KY,28,744,68482.46,0,0,0,28,744,68482.46,1.8895
ZJ0105280,BOSTON,MA,25,914,107844.87,0,0,0,25,914,107844.87,1.7754
AT3401864,BOSTON,MA,33,431,60932.75,0,0,0,33,431,60932.75,2.409
YI2727100,CLEVELAND,OH,29,639,53844.8,0,0,0,29,639,53844.8,1.5632
QO3751028,LANCASTER,PA,33,1555,90037.02,NA,NA,NA,NA,NA,NA,1.204
BK4513932,DECATUR,GA,15,396,33273.29,0,0,0,15,396,33273.29,1.6628
CE6243864,CINCINNATI,OH,6,272,27353.44,0,0,0,6,272,27353.44,1.9052
AP8986122,LAKE CITY,FL,25,4723,554172.49,0,0,0,25,4723,554172.49,1.692
NQ9416817,CHESAPEAKE,VA,38,2277,248882.35,NA,NA,NA,NA,NA,NA,1.5087
YM4808156,WINCHESTER,VA,19,330,35475.46,0,0,0,19,330,35475.46,1.9082
MF0723496,HIGHLAND PARK,IL,17,610,55809.57,0,0,0,17,610,55809.57,1.7541
CB8542305,WEST PALM BEACH,FL,40,1326,80495.82,NA,NA,NA,NA,NA,NA,1.9682
YS1236155,CLEVELAND,OH,13,330,49337.05,0,0,0,13,330,49337.05,2.0093
CL6304770,NEW YORK,NY,12,215,26566.43,0,0,0,12,215,26566.43,1.4052
LB2497467,LOUISVILLE,KY,25,4184,138180.32,2,2742,14643.33,23,1442,123536.99,1.4837
GY8887752,VANCOUVER,WA,28,1731,99189.58,NA,NA,NA,NA,NA,NA,1.862
RE1843339,WESTERVILLE,OH,40,1639,114284.59,NA,NA,NA,NA,NA,NA,1.9219
TJ4968896,PLEASANT HILL,CA,17,554,73130.15,0,0,0,17,554,73130.15,1.9481
CW3789926,BOSTON,MA,16,176,22470.44,0,0,0,16,176,22470.44,1.6161
GB3527045,WEST COLUMBIA,SC,10,220,20179.5,NA,NA,NA,NA,NA,NA,1.1192
YD4981153,SAN ANGELO,TX,44,1105,93339.25,NA,NA,NA,NA,NA,NA,1.6412
TE8832174,OCEANSIDE,CA,39,842,128172.87,0,0,0,39,842,128172.87,1.6242
CI3600464,BOSTON,MA,15,277,30307.79,0,0,0,15,277,30307.79,2.413
HZ1989412,OMAHA,NE,21,474,60908.04,0,0,0,21,474,60908.04,2.3248
OQ3111187,ROCHESTER,MN,9,26,3160.51,0,0,0,9,26,3160.51,1.3687
BZ9826556,ALBUQUERQUE,NM,12,79,9034.49,0,0,0,12,79,9034.49,0.8707
QN6998590,GREENSBURG,PA,25,471,60982.09,0,0,0,25,471,60982.09,1.4275
BL7920738,KENMORE,NY,27,4103,102347.19,3,3064,16561.14,24,1039,85786.05,1.4012
XE1278016,SAN JOSE,CA,30,7479,412656.94,NA,NA,NA,NA,NA,NA,1.5203
UN8959219,NEWPORT BEACH,CA,22,399,39993.97,NA,NA,NA,NA,NA,NA,1.6283
LK7545542,RIDGEWOOD,NJ,15,174,35192.75,0,0,0,15,174,35192.75,2.0247
XH7182438,WASHINGTON,PA,30,2099,83997.57,NA,NA,NA,NA,NA,NA,1.7361
UM8182329,NEW ORLEANS,LA,25,910,88852.93,0,0,0,25,910,88852.93,1.9477
KB0440270,HENDERSON,NC,33,3550,262761.99,NA,NA,NA,NA,NA,NA,1.6499
SW6088909,SAN JUAN,PR,6,39,7474.98,0,0,0,6,39,7474.98,1.6194
AQ1753729,ESCONDIDO,CA,27,788,87539,0,0,0,27,788,87539,1.4117
TL0444824,KALAMAZOO,MI,31,1384,105509.66,0,0,0,31,1384,105509.66,1.415
SJ2186471,SAN ANTONIO,TX,35,13996,290345.92,4,12465,123584.35,31,1531,166761.57,1.4269
BZ5539435,TAYLOR,MI,26,3184,210417.25,NA,NA,NA,NA,NA,NA,2.1268
TM6752521,ALBUQUERQUE,NM,3,24,1367.98,0,0,0,3,24,1367.98,1.1881
OK8405818,ROCHESTER,MN,14,301,35244.43,0,0,0,14,301,35244.43,2.0223
TL9205634,WOODBRIDGE,VA,23,1530,231555.92,0,0,0,23,1530,231555.92,1.5674
VR9654331,OKLAHOMA CITY,OK,34,18030,230349.17,1,16700,91835.9,33,1330,138513.27,1.1663
LI1279468,WAUKESHA,WI,27,2681,75550.12,NA,NA,NA,NA,NA,NA,1.394
QG8192228,RICHMOND,VA,37,1876,162856.68,2,334,4296.9,35,1542,158559.78,1.4271
QS0037955,SACRAMENTO,CA,6,14,1279.26,0,0,0,6,14,1279.26,1.7829
KG0232591,DALLAS,TX,14,743,89570.34,0,0,0,14,743,89570.34,1.4852
BL1483457,CHICAGO,IL,16,834,85531.88,0,0,0,16,834,85531.88,1.3582
WQ5942165,ROCHESTER,MN,23,160,29229.92,0,0,0,23,160,29229.92,1.4861
GC8095744,NEW YORK,NY,32,1496.2,164630.65,0,0,0,32,1496.2,164630.65,2.0454
CI3905937,BOSTON,MA,17,370,46621.17,0,0,0,17,370,46621.17,1.7375
WL1171322,MANISTEE,MI,30,1299,99632.64,0,0,0,30,1299,99632.64,1.2405
ZS7642463,BERWYN,IL,14,409,40916.78,0,0,0,14,409,40916.78,2.02
BW2986246,HENDERSON,NV,25,524,35069.96,0,0,0,25,524,35069.96,1.7611
JC4651324,BOSTON,MA,19,636,85757.03,0,0,0,19,636,85757.03,1.4898
RH9337430,WOBURN,MA,18,837,120559.85,0,0,0,18,837,120559.85,1.3863
JV6208308,IOWA CITY,IA,21,551,46851.88,0,0,0,21,551,46851.88,1.4464
XU7825518,DENVILLE,NJ,15,812,133213.18,0,0,0,15,812,133213.18,1.4694
OI4890290,LENEXA,KS,31,5783,123884.07,2,5025,26119.5,29,758,97764.57,1.1188
XS1349634,SHERMAN,TX,79,100622,1387962.96,10,94804,657043.97,69,5818,730918.99,1.7087
TB5905456,NORFOLK,VA,39,18746,262322.76,3,17332,116632.35,36,1414,145690.41,1.269
DA4011638,TOWSON,MD,24,1284,179005.44,0,0,0,24,1284,179005.44,1.7349
AY4332684,DEKALB,IL,28,972,88950.05,0,0,0,28,972,88950.05,2.0149
UW9043528,HILLSDALE,MI,25,485,45246.17,0,0,0,25,485,45246.17,1.4006
HB2023770,SIOUX FALLS,SD,35,1087,133395.36,0,0,0,35,1087,133395.36,1.3235
GJ5993493,BROOKLYN,NY,32,2227,293424.18,NA,NA,NA,NA,NA,NA,2.3907
MW7230843,ESCANABA,MI,17,235,20262.88,NA,NA,NA,NA,NA,NA,1.0808
FU0203403,CARLISLE,PA,24,728,87377.32,0,0,0,24,728,87377.32,1.7829
MS8907214,CHICAGO,IL,7,301,35480.71,0,0,0,7,301,35480.71,1.3967
ER2734734,LEWISBURG,PA,20,738,84463.58,0,0,0,20,738,84463.58,1.0822
EM2361428,JACKSONVILLE,FL,27,686,88093.37,0,0,0,27,686,88093.37,1.7204
SW1493415,NEWARK,NJ,6,351,80744.94,0,0,0,6,351,80744.94,3.2552
AB9368457,PORTLAND,OR,34,1686,72230.66,NA,NA,NA,NA,NA,NA,1.2585
QW4664828,KINGWOOD,WV,11,35,2571.63,0,0,0,11,35,2571.63,2.0856
IB3931187,FREDERICKSBURG,VA,35,4245,201681.47,NA,NA,NA,NA,NA,NA,1.2752
TU0230999,ALAMEDA,CA,17,466,63731.38,0,0,0,17,466,63731.38,1.3629
NX9548009,BRYN MAWR,PA,65,7320,449043.28,4,3360,17313.9,61,3960,431729.38,1.5247
KU4187557,HAMILTON,OH,31,1886,207965.87,NA,NA,NA,NA,NA,NA,1.9772
SR8787208,NORWOOD,MA,32,744,83790.13,NA,NA,NA,NA,NA,NA,1.5042
SI5588240,COLUMBUS,OH,2,40,4346.27,0,0,0,2,40,4346.27,1.1663
RY9247671,NAPERVILLE,IL,34,1467,165611.37,1,112,199.3,33,1355,165412.07,1.9348
IV3590439,TULSA,OK,31,1753,80756.07,NA,NA,NA,NA,NA,NA,1.2441
SL7446117,EDINA,MN,36,7509,135796.18,1,6725,36995.45,35,784,98800.73,1.3359
FL6945566,BOSTON,MA,10,485,41460.67,0,0,0,10,485,41460.67,1.3881
QW6426117,MILWAUKEE,WI,32,1009,69036.95,0,0,0,32,1009,69036.95,1.6618
ET1070685,LINCOLN,NE,41,7378,275981.88,2,5700,60187.84,39,1678,215794.04,1.3933
TQ8308194,NEWARK,DE,13,897,63707.42,0,0,0,13,897,63707.42,1.623
WF9584530,AKRON,OH,41,8176,236411.65,8,7237,77359.96,33,939,159051.69,1.7364
TR4378741,LOS ANGELES,CA,14,3214,138095.48,0,0,0,14,3214,138095.48,1.661
TN8241144,HOLLYWOOD,FL,33,12708,175898.42,3,11901,66977.8,30,807,108920.62,1.2964
QE0392525,MILWAUKEE,WI,18,407,40797.21,0,0,0,18,407,40797.21,2.089
XZ1497960,MILWAUKEE,WI,22,589,60349.85,0,0,0,22,589,60349.85,1.6169
DE9703580,ATHENS,GA,29,431,42548.46,0,0,0,29,431,42548.46,1.5596
TF0371317,ROSEVILLE,CA,14,165,27900.25,0,0,0,14,165,27900.25,1.7
DC8188139,PLYMOUTH,MA,19,580,66530.69,0,0,0,19,580,66530.69,1.2454
MG7050006,MERRITT ISLAND,FL,38,2880,140207.32,NA,NA,NA,NA,NA,NA,1.554
PR3885568,CHICAGO,IL,7,68,9192.24,0,0,0,7,68,9192.24,1.2045
PA0904809,TULSA,OK,18,612,50174.39,0,0,0,18,612,50174.39,1.4947
CM2654840,NEW BRUNSWICK,NJ,27,443,61448.92,0,0,0,27,443,61448.92,1.8304
UO6268845,TALLAHASSEE,FL,12,207,20696.37,0,0,0,12,207,20696.37,1.2632
VB1746808,PALM BEACH GARDENS,FL,32,1533,278228.64,0,0,0,32,1533,278228.64,1.3005
PG7622293,BOSTON,MA,9,49,5815.94,0,0,0,9,49,5815.94,1.7496
VY4282339,SALT LAKE CITY,UT,24,289,30777.91,0,0,0,24,289,30777.91,1.3198
VC9801152,EAST POINT,GA,27,709,85439.23,0,0,0,27,709,85439.23,1.9295
QK7820139,IOWA CITY,IA,19,744,62987.53,0,0,0,19,744,62987.53,1.3816
MY5952995,WILMINGTON,NC,47,5799,153925.73,4,4621,25924.74,43,1178,128000.99,1.198
QX0515458,WEST READING,PA,16,8338,171665.77,NA,NA,NA,NA,NA,NA,1.5411
OZ5109502,MANHATTAN,KS,56,3018,115215.41,NA,NA,NA,NA,NA,NA,1.4212
EL3051891,CHESTNUT HILL,MA,11,182,15883.73,0,0,0,11,182,15883.73,1.4157
WT8271100,SEATTLE,WA,34,1484,140486.51,NA,NA,NA,NA,NA,NA,1.3229
SV0184831,LA JOLLA,CA,27,308,36742.35,0,0,0,27,308,36742.35,1.6398
KW5913524,GRAND ISLAND,NE,30,931,88780.02,NA,NA,NA,NA,NA,NA,1.3254
MY7953568,RED WING,MN,28,299,27686.74,0,0,0,28,299,27686.74,1.1013
KP1334272,UKIAH,CA,4,52,5789.52,0,0,0,4,52,5789.52,1.3308
RM3241046,KINGSPORT,TN,45,11768,216367.4,8,10491,63529.19,37,1277,152838.21,1.4501
AC5429659,MOUNTAIN VIEW,CA,23,479,70899.22,NA,NA,NA,NA,NA,NA,1.334
SA8910790,SHREVEPORT,LA,28,2122,144930.36,0,0,0,28,2122,144930.36,2.0265
MH9442255,BALTIMORE,MD,24,516,34043.13,0,0,0,24,516,34043.13,1.3231
MT6980911,WINCHESTER,KY,15,956,89098.28,0,0,0,15,956,89098.28,1.5978
